DATE,WETH_Price,Gold_Price,WETH/Gold
2021/4/11,2143.564124,1735.666667,1.235009098
2021/4/12,2156.229812,1732.9,1.24428981
2021/4/13,2214.637561,1748,1.266955126
2021/4/14,2338.439256,1735.6,1.347337668
2021/4/15,2459.645472,1757.2,1.399752716
2021/4/16,2444.356484,1774.5,1.37749027
2021/4/17,2431.895829,1774.5,1.370468205
2021/4/18,2218.2643,1774.5,1.250078501
2021/4/19,2207.97618,1774.5,1.244280744
2021/4/20,2173.459336,1777.9,1.222486831
2021/4/21,2360.91207,1798.2,1.312930747
2021/4/22,2496.896339,1787.8,1.396630685
2021/4/23,2284.509825,1781.8,1.282135944
2021/4/24,2286.203246,1779,1.285105816
2021/4/25,2263.418274,1776.2,1.274303724
2021/4/26,2456.613075,1773.4,1.385256048
2021/4/27,2574.359833,1784.2,1.442865056
2021/4/28,2688.177749,1772.2,1.516859129
2021/4/29,2747.882264,1762.7,1.558905239
2021/4/30,2758.340471,1767.7,1.560412101
2021/5/1,2848.508427,1767.7,1.611420731
2021/5/2,2940.415929,1767.7,1.663413435
2021/5/3,3164.681816,1767.7,1.790282184
2021/5/4,3342.325658,1797.8,1.859119845
2021/5/5,3368.815237,1782.3,1.8901505
2021/5/6,3492.882473,1813.2,1.926363596
2021/5/7,3489.443734,1836.6,1.899947585
2021/5/8,3640.847089,1837.9,1.980982148
2021/5/9,3887.974499,1839.2,2.113948727
2021/5/10,4069.175837,1840.5,2.210907817
2021/5/11,4092.632725,1829.1,2.237511741
2021/5/12,4162.827897,1830.7,2.273899545
2021/5/13,3929.574924,1821.8,2.15697383
2021/5/14,3949.268328,1838.1,2.148560104
2021/5/15,3947.034864,1843.3,2.141287291
2021/5/16,3756.477187,1848.5,2.032175919
2021/5/17,3370.915561,1853.7,1.81847956
2021/5/18,3437.209179,1866.8,1.841230544
2021/5/19,3302.680253,1888.5,1.748837836
2021/5/20,2656.723333,1878.3,1.414429715
2021/5/21,2611.554427,1875.9,1.392160791
2021/5/22,2361.51219,1877.333333,1.257907772
2021/5/23,2153.149647,1878.766667,1.146044203
2021/5/24,2349.482012,1880.2,1.249591539
2021/5/25,2621.664292,1887,1.389329249
2021/5/26,2729.866689,1899.8,1.436923197
2021/5/27,2744.521763,1891.5,1.450976348
2021/5/28,2577.976137,1900,1.356829546
2021/5/29,2436.931283,1900,1.282595412
2021/5/30,2345.968579,1900,1.234720305
2021/5/31,2466.521729,1900,1.298169331
2021/6/1,2593.622209,1899.4,1.36549553
2021/6/2,2656.855773,1902.8,1.396287457
2021/6/3,2748.944583,1866.6,1.47270148
2021/6/4,2694.961341,1890.6,1.425452947
2021/6/5,2714.368024,1889.866667,1.436274882
2021/6/6,2650.51842,1889.133333,1.403034065
2021/6/7,2731.52375,1888.4,1.446475191
2021/6/8,2555.837973,1893.2,1.350009493
2021/6/9,2528.853197,1894.6,1.334768921
2021/6/10,2563.480817,1888.7,1.35727263
2021/6/11,2496.722674,1881.1,1.327267383
2021/6/12,2450.515,1875.933333,1.306291091
2021/6/13,2430.118014,1870.766667,1.298995785
2021/6/14,2468.992341,1865.6,1.323430715
2021/6/15,2575.813014,1865.1,1.381058932
2021/6/16,2490.899365,1860.8,1.338617458
2021/6/17,2417.410906,1778.7,1.359088607
2021/6/18,2343.748664,1773.1,1.321836706
2021/6/19,2215.459278,1773.766667,1.249013932
2021/6/20,2219.274167,1774.433333,1.250694588
2021/6/21,2181.380292,1775.1,1.228877411
2021/6/22,1939.924864,1775.1,1.092853847
2021/6/23,1888.881667,1791.6,1.054298765
2021/6/24,1973.995833,1784.9,1.105941976
2021/6/25,2012.7,1786.7,1.126490177
2021/6/26,1983.709225,1784.566667,1.111591549
2021/6/27,1907.336861,1782.433333,1.070074726
2021/6/28,1991.80553,1780.3,1.118803308
2021/6/29,2126.44684,1755.5,1.21130552
2021/6/30,2134.53646,1763.2,1.210603709
2021/7/1,2104.59,1781.5,1.181358406
2021/7/2,2097.40134,1786.2,1.174225361
2021/7/3,2126.033081,1787.933333,1.189100869
2021/7/4,2292.620158,1789.666667,1.281031938
2021/7/5,2322.764004,1791.4,1.296619406
2021/7/6,2328.822865,1809.9,1.286713556
2021/7/7,2358.774745,1804.7,1.307017646
2021/7/8,2206.916244,1807.7,1.220842089
2021/7/9,2130.485526,1806,1.179670834
2021/7/10,2122.318246,1801.466667,1.178105754
2021/7/11,2127.194702,1796.933333,1.183791665
2021/7/12,2112.241636,1792.4,1.178443225
2021/7/13,2006.273967,1813.9,1.106055442
2021/7/14,1956.567788,1823.2,1.073150388
2021/7/15,1955.743838,1823.8,1.072345563
2021/7/16,1913.891239,1824.3,1.049109927
2021/7/17,1891.072159,1821.166667,1.038385005
2021/7/18,1935.870699,1818.033333,1.064815844
2021/7/19,1856.198512,1814.9,1.022755255
2021/7/20,1776.659437,1823.1,0.974526596
2021/7/21,1875.434892,1802.2,1.040636384
2021/7/22,1998.246225,1799.5,1.110445249
2021/7/23,2068.494707,1799.6,1.149419153
2021/7/24,2127.109728,1799.8,1.181858944
2021/7/25,2158.515823,1800,1.199175457
2021/7/26,2309.316105,1800.2,1.282810857
2021/7/27,2238.700011,1800.4,1.243445907
2021/7/28,2295.490738,1796.6,1.277686039
2021/7/29,2307.376437,1829.3,1.261343922
2021/7/30,2405.689239,1825.8,1.317608303
2021/7/31,2455.368472,1821.033333,1.348338016
2021/8/1,2597.125884,1816.266667,1.429925424
2021/8/2,2633.306135,1811.5,1.453660577
2021/8/3,2638.93,1812.7,1.455800739
2021/8/4,2638.93,1829.1,1.442747799
2021/8/5,2638.93,1800.8,1.465420924
2021/8/6,2638.93,1762.9,1.49692552
2021/8/7,2880.601886,1754.9,1.641462127
2021/8/8,3078.322862,1746.9,1.762163182
2021/8/9,3057.420381,1738.9,1.758249687
2021/8/10,3110.39965,1723.4,1.804804253
2021/8/11,3195.261157,1743.6,1.832565472
2021/8/12,3123.894277,1747.4,1.787738513
2021/8/13,3195.072381,1773.9,1.801156988
2021/8/14,3254.891952,1778.066667,1.830579254
2021/8/15,3257.155146,1782.233333,1.827569424
2021/8/16,3246.050411,1786.4,1.817090467
2021/8/17,3161.634932,1789.5,1.766770009
2021/8/18,3044.348635,1783.5,1.706951856
2021/8/19,3034.065302,1782.1,1.702522475
2021/8/20,3212.005897,1779.1,1.805410543
2021/8/21,3259.498196,1786.733333,1.824277935
2021/8/22,3222.77875,1794.366667,1.796053622
2021/8/23,3315.386025,1802,1.839836862
2021/8/24,3277.571123,1808.5,1.812314693
2021/8/25,3176.45827,1788.7,1.775847414
2021/8/26,3189.16118,1786.6,1.785044879
2021/8/27,3174.155747,1798.5,1.764890602
2021/8/28,3252.430047,1798.5,1.808412592
2021/8/29,3232.765742,1798.5,1.797478867
2021/8/30,3200.789099,1798.5,1.779699249
2021/8/31,3311.78931,1814.9,1.824777845
2021/9/1,3573.711947,1811.8,1.972464923
2021/9/2,3768.635411,1812.6,2.079132413
2021/9/3,3890.069975,1823.7,2.133064635
2021/9/4,3911.757793,1823,2.145780468
2021/9/5,3896.551483,1822.3,2.138260156
2021/9/6,3932.463748,1821.6,2.158796524
2021/9/7,3722.889526,1802.2,2.065747157
2021/9/8,3410.894239,1786,1.909795207
2021/9/9,3499.536623,1788.3,1.956906908
2021/9/10,3394.063793,1794.6,1.89126479
2021/9/11,3267.023645,1794.366667,1.820711288
2021/9/12,3357.080305,1794.133333,1.871143155
2021/9/13,3332.932628,1793.9,1.857925541
2021/9/14,3337.739384,1792.8,1.861746644
2021/9/15,3419.366667,1797,1.902819514
2021/9/16,3422.55,1748,1.957980549
2021/9/17,3421.172286,1756,1.948275789
2021/9/18,3469.773188,1756.6,1.975277916
2021/9/19,3393.484432,1757.2,1.9311885
2021/9/20,3132.67987,1757.8,1.782159444
2021/9/21,3035.76,1774.5,1.710769231
2021/9/22,3035.76,1773.4,1.711830382
2021/9/23,3035.76,1750,1.73472
2021/9/24,3021.341667,1746.8,1.72964373
2021/9/25,2931.434008,1749.633333,1.675456195
2021/9/26,2962.162449,1752.466667,1.690281764
2021/9/27,3065.885836,1755.3,1.746644925
2021/9/28,2909.33267,1733.8,1.678009384
2021/9/29,2890.63932,1737.2,1.66396461
2021/9/30,2995.902883,1742.8,1.719017032
2021/10/1,3169.389906,1757.1,1.803761827
2021/10/2,3343.434471,1756.266667,1.903716864
2021/10/3,3417.916388,1755.433333,1.947049952
2021/10/4,3369.18789,1754.6,1.920202833
2021/10/5,3435.893419,1753.2,1.959784063
2021/10/6,3508.346323,1759.7,1.993718431
2021/10/7,3584.63686,1762.1,2.034298201
2021/10/8,3610.449269,1773.3,2.036005904
2021/10/9,3590.450876,1768.1,2.030683149
2021/10/10,3544.894187,1762.9,2.010831123
2021/10/11,3550.484343,1757.7,2.01996037
2021/10/12,3493.024427,1767.8,1.975916069
2021/10/13,3504.167258,1785.7,1.962349363
2021/10/14,3699.840811,1798.7,2.056952694
2021/10/15,3827.065499,1772.7,2.158890675
2021/10/16,3879.12245,1771.1,2.190233442
2021/10/17,3839.434755,1769.5,2.169785112
2021/10/18,3798.410076,1767.9,2.148543513
2021/10/19,3811.803499,1779.6,2.141943976
2021/10/20,3964.405676,1778,2.22969948
2021/10/21,4161.00095,1779.3,2.338560642
2021/10/22,4071.263684,1808.3,2.251431557
2021/10/23,4063.987793,1807.3,2.248651465
2021/10/24,4081.558538,1806.3,2.259623838
2021/10/25,4177.614592,1805.3,2.314083306
2021/10/26,4223.309517,1785.6,2.365204703
2021/10/27,4064.278924,1795.3,2.263843883
2021/10/28,4142.224935,1803.5,2.296770133
2021/10/29,4388.226133,1769.2,2.480344864
2021/10/30,4343.267427,1777.4,2.443607194
2021/10/31,4290.244939,1785.6,2.402690938
2021/11/1,4313.643563,1793.8,2.40475168
2021/11/2,4442.403989,1790.5,2.481096894
2021/11/3,4591.590358,1763.5,2.603680384
2021/11/4,4550.348898,1796.2,2.533319729
2021/11/5,4515.499394,1801.9,2.505965589
2021/11/6,4468.308901,1808.733333,2.470407781
2021/11/7,4594.272655,1815.566667,2.530489648
2021/11/8,4752.883622,1822.4,2.60803535
2021/11/9,4797.308726,1827.3,2.625353651
2021/11/10,4754.109236,1859.4,2.556797481
2021/11/11,4704.671667,1857.9,2.532252364
2021/11/12,4699.854167,1860.6,2.525988481
2021/11/13,4658.79926,1860.366667,2.504237118
2021/11/14,4624.179286,1860.133333,2.485939692
2021/11/15,4662.165841,1859.9,2.506675542
2021/11/16,4315.553949,1859.2,2.321188656
2021/11/17,4220.768648,1864.9,2.263268083
2021/11/18,4307.363956,1860.3,2.315413619
2021/11/19,4147.345379,1861.1,2.228437687
2021/11/20,4343.420417,1846.1,2.352754681
2021/11/21,4373.093333,1831.1,2.388232938
2021/11/22,4173.456318,1816.1,2.298032222
2021/11/23,4177.918578,1789.2,2.335076335
2021/11/24,4282.929509,1782.1,2.403304814
2021/11/25,4355.316476,1788.2,2.43558689
2021/11/26,4207.709042,1800.8,2.336577655
2021/11/27,4116.213733,1795.866667,2.29204863
2021/11/28,4087.950781,1790.933333,2.282581213
2021/11/29,4357.451704,1786,2.439782589
2021/11/30,4523.858194,1804.4,2.507126022
2021/12/1,4692.756227,1789.3,2.622677151
2021/12/2,4539.028,1765,2.571687252
2021/12/3,4456.387205,1767.6,2.521151395
2021/12/4,4004.520753,1771.3,2.260780643
2021/12/5,4140.337793,1775,2.332584672
2021/12/6,4132.286219,1778.7,2.323205835
2021/12/7,4333.23,1781.4,2.432485685
2021/12/8,4356.677676,1783.8,2.442357706
2021/12/9,4289.064996,1776.2,2.414742144
2021/12/10,4098.164348,1779.8,2.30259824
2021/12/11,4012.142278,1782.466667,2.2508933
2021/12/12,4063.792239,1785.133333,2.276464264
2021/12/13,3922.2001,1787.8,2.193869616
2021/12/14,3809.362083,1776.9,2.143824685
2021/12/15,3879.32,1768.7,2.193317126
2021/12/16,4036.783985,1795.7,2.248028059
2021/12/17,3901.604044,1807.7,2.158324968
2021/12/18,3911.442282,1803.9,2.168325452
2021/12/19,3947.495274,1800.1,2.1929311
2021/12/20,3860.678929,1796.3,2.149239508
2021/12/21,4002.671165,1793.8,2.231392109
2021/12/22,4014.67282,1792.8,2.239331113
2021/12/23,3993.954365,1805.2,2.21247195
2021/12/24,4093.513095,1805.2,2.267623031
2021/12/25,4072.281866,1805.2,2.25586188
2021/12/26,4058.273423,1805.2,2.24810183
2021/12/27,4070.14723,1805.2,2.254679387
2021/12/28,3897.722457,1805.2,2.159163781
2021/12/29,3781.945347,1794.3,2.107755307
2021/12/30,3708.939008,1805.9,2.053789805
2021/12/31,3732.517314,1805.9,2.066846068
