Date,Gold_price
2021/12/6,1.78E+03
2021/12/7,1.78E+03
2021/12/8,1.78E+03
2021/12/9,1.78E+03
2021/12/10,1.78E+03
2021/12/13,1.79E+03
2021/12/14,1.78E+03
2021/12/15,1.77E+03
2021/12/16,1.80E+03
2021/12/17,1.81E+03
2021/12/20,1.80E+03
2021/12/21,1.79E+03
2021/12/22,1.79E+03
2021/12/23,1.81E+03
2021/12/24,1.81E+03
2021/12/27,1.81E+03
2021/12/28,1.81E+03
2021/12/29,1.79E+03
2021/12/30,1.81E+03
2021/12/31,1.81E+03
2022/1/3,1.81E+03
2022/1/4,1.81E+03
2022/1/5,1.83E+03
2022/1/6,1.79E+03
2022/1/7,1.79E+03
2022/1/10,1.79E+03
2022/1/11,1.81E+03
2022/1/12,1.82E+03
2022/1/13,1.82E+03
2022/1/14,1.82E+03
2022/1/17,1.82E+03
2022/1/18,1.82E+03
2022/1/19,1.83E+03
2022/1/20,1.85E+03
2022/1/21,1.84E+03
2022/1/24,1.83E+03
2022/1/25,1.85E+03
2022/1/26,1.84E+03
2022/1/27,1.81E+03
2022/1/28,1.79E+03
2022/1/31,1.80E+03
2022/2/1,1.80E+03
2022/2/2,1.80E+03
2022/2/3,1.79E+03
2022/2/4,1.80E+03
2022/2/7,1.81E+03
2022/2/8,1.82E+03
2022/2/9,1.83E+03
2022/2/10,1.84E+03
2022/2/11,1.83E+03
2022/2/14,1.87E+03
2022/2/15,1.85E+03
2022/2/16,1.86E+03
2022/2/17,1.89E+03
2022/2/18,1.89E+03
2022/2/21,1.89E+03
2022/2/22,1.90E+03
2022/2/23,1.90E+03
2022/2/24,1.94E+03
2022/2/25,1.88E+03
2022/2/28,1.91E+03
2022/3/1,1.92E+03
2022/3/2,1.93E+03
2022/3/3,1.93E+03
2022/3/4,1.95E+03
2022/3/7,1.98E+03
2022/3/8,2.04E+03
2022/3/9,1.99E+03
2022/3/10,2.00E+03
2022/3/11,1.98E+03
2022/3/14,1.95E+03
2022/3/15,1.91E+03
2022/3/16,1.91E+03
2022/3/17,1.95E+03
2022/3/18,1.94E+03
2022/3/21,1.94E+03
2022/3/22,1.92E+03
2022/3/23,1.93E+03
2022/3/24,1.97E+03
2022/3/25,1.95E+03
2022/3/28,1.94E+03
2022/3/29,1.91E+03
2022/3/30,1.93E+03
2022/3/31,1.94E+03
2022/4/1,1.93E+03
2022/4/4,1.93E+03
2022/4/5,1.94E+03
2022/4/6,1.93E+03
2022/4/7,1.93E+03
2022/4/8,1.94E+03
2022/4/11,1.95E+03
2022/4/12,1.96E+03
2022/4/13,1.98E+03
2022/4/14,1.96E+03
2022/4/15,1.96E+03
2022/4/18,1.96E+03
2022/4/19,1.96E+03
2022/4/20,1.95E+03
2022/4/21,1.94E+03
2022/4/22,1.94E+03
2022/4/25,1.90E+03
2022/4/26,1.90E+03
2022/4/27,1.89E+03
2022/4/28,1.89E+03
2022/4/29,1.91E+03
2022/5/2,1.91E+03
2022/5/3,1.87E+03
2022/5/4,1.86E+03
2022/5/5,1.89E+03
2022/5/6,1.88E+03
2022/5/9,1.86E+03
2022/5/10,1.86E+03
2022/5/11,1.85E+03
2022/5/12,1.84E+03
2022/5/13,1.81E+03
2022/5/16,1.81E+03
2022/5/17,1.83E+03
2022/5/18,1.81E+03
2022/5/19,1.84E+03
2022/5/20,1.83E+03
2022/5/23,1.86E+03
2022/5/24,1.87E+03
2022/5/25,1.85E+03
2022/5/26,1.85E+03
2022/5/27,1.85E+03
2022/5/30,1.85E+03
2022/5/31,1.84E+03
2022/6/1,1.84E+03
2022/6/2,1.84E+03
2022/6/3,1.84E+03
2022/6/6,1.85E+03
2022/6/7,1.85E+03
2022/6/8,1.85E+03
2022/6/9,1.84E+03
2022/6/10,1.83E+03
2022/6/13,1.83E+03
2022/6/14,1.82E+03
2022/6/15,1.82E+03
2022/6/16,1.83E+03
2022/6/17,1.84E+03
2022/6/20,1.84E+03
2022/6/21,1.84E+03
2022/6/22,1.84E+03
2022/6/23,1.84E+03
2022/6/24,1.83E+03
2022/6/27,1.83E+03
2022/6/28,1.82E+03
2022/6/29,1.82E+03
2022/6/30,1.82E+03
2022/7/1,1.80E+03
2022/7/4,1.81E+03
2022/7/5,1.77E+03
2022/7/6,1.75E+03
2022/7/7,1.75E+03
2022/7/8,1.74E+03
2022/7/11,1.74E+03
2022/7/12,1.73E+03
2022/7/13,1.72E+03
2022/7/14,1.70E+03
2022/7/15,1.71E+03
2022/7/18,1.72E+03
2022/7/19,1.71E+03
2022/7/20,1.71E+03
2022/7/21,1.71E+03
2022/7/22,1.74E+03
2022/7/25,1.72E+03
2022/7/26,1.72E+03
2022/7/27,1.71E+03
2022/7/28,1.75E+03
2022/7/29,1.75E+03
2022/8/1,1.77E+03
2022/8/2,1.78E+03
2022/8/3,1.76E+03
2022/8/4,1.78E+03
2022/8/5,1.77E+03
2022/8/8,1.78E+03
2022/8/9,1.80E+03
2022/8/10,1.80E+03
2022/8/11,1.80E+03
2022/8/12,1.79E+03
2022/8/15,1.78E+03
2022/8/16,1.77E+03
2022/8/17,1.77E+03
2022/8/18,1.77E+03
2022/8/19,1.75E+03
2022/8/22,1.73E+03
2022/8/23,1.75E+03
2022/8/24,1.75E+03
2022/8/25,1.75E+03
2022/8/26,1.75E+03
2022/8/29,1.75E+03
2022/8/30,1.73E+03
2022/8/31,1.72E+03
2022/9/1,1.69E+03
2022/9/2,1.71E+03
2022/9/5,1.71E+03
2022/9/6,1.70E+03
2022/9/7,1.70E+03
2022/9/8,1.71E+03
2022/9/9,1.71E+03
2022/9/12,1.73E+03
2022/9/13,1.70E+03
2022/9/14,1.70E+03
2022/9/15,1.69E+03
2022/9/16,1.66E+03
2022/9/19,1.66E+03
2022/9/20,1.66E+03
2022/9/21,1.67E+03
2022/9/22,1.67E+03
2022/9/23,1.64E+03
2022/9/26,1.64E+03
2022/9/27,1.63E+03
2022/9/28,1.65E+03
2022/9/29,1.65E+03
2022/9/30,1.67E+03
2022/10/3,1.67E+03
2022/10/4,1.71E+03
2022/10/5,1.70E+03
2022/10/6,1.71E+03
2022/10/7,1.70E+03
2022/10/10,1.68E+03
2022/10/11,1.66E+03
2022/10/12,1.67E+03
2022/10/13,1.65E+03
2022/10/14,1.65E+03
2022/10/17,1.66E+03
2022/10/18,1.65E+03
2022/10/19,1.63E+03
2022/10/20,1.64E+03
2022/10/21,1.64E+03
2022/10/24,1.65E+03
2022/10/25,1.66E+03
2022/10/26,1.67E+03
2022/10/27,1.66E+03
2022/10/28,1.65E+03
2022/10/31,1.64E+03
2022/11/1,1.65E+03
2022/11/2,1.65E+03
2022/11/3,1.63E+03
2022/11/4,1.67E+03
2022/11/7,1.68E+03
2022/11/8,1.68E+03
2022/11/9,1.72E+03
2022/11/10,1.74E+03
2022/11/11,1.76E+03
2022/11/14,1.77E+03
2022/11/15,1.77E+03
2022/11/16,1.77E+03
2022/11/17,1.76E+03
2022/11/18,1.75E+03
2022/11/21,1.74E+03
2022/11/22,1.74E+03
2022/11/23,1.74E+03
2022/11/24,1.76E+03
2022/11/25,1.75E+03
2022/11/28,1.75E+03
2022/11/29,1.75E+03
2022/11/30,1.75E+03
2022/12/1,1.80E+03
2022/12/2,1.78E+03
2022/12/5,1.78E+03
2022/12/6,1.77E+03
2022/12/7,1.78E+03
2022/12/8,1.79E+03
2022/12/9,1.80E+03
2022/12/12,1.79E+03
2022/12/13,1.82E+03
2022/12/14,1.81E+03
2022/12/15,1.78E+03
2022/12/16,1.79E+03
2022/12/19,1.79E+03
2022/12/20,1.81E+03
2022/12/21,1.82E+03
2022/12/22,1.80E+03
2022/12/23,1.80E+03
2022/12/26,1.80E+03
2022/12/27,1.80E+03
2022/12/28,1.80E+03
2022/12/29,1.81E+03
2022/12/30,1.81E+03
2023/1/2,1.81E+03
2023/1/3,1.84E+03
2023/1/4,1.86E+03
2023/1/5,1.83E+03
2023/1/6,1.85E+03
2023/1/9,1.88E+03
2023/1/10,1.88E+03
2023/1/11,1.87E+03
2023/1/12,1.88E+03
2023/1/13,1.91E+03
2023/1/16,1.92E+03
2023/1/17,1.91E+03
2023/1/18,1.92E+03
2023/1/19,1.92E+03
2023/1/20,1.92E+03
2023/1/23,1.91E+03
2023/1/24,1.92E+03
2023/1/25,1.93E+03
2023/1/26,1.93E+03
2023/1/27,1.92E+03
2023/1/30,1.92E+03
2023/1/31,1.92E+03
2023/2/1,1.93E+03
2023/2/2,1.92E+03
2023/2/3,1.88E+03
2023/2/6,1.87E+03
2023/2/7,1.87E+03
2023/2/8,1.87E+03
2023/2/9,1.88E+03
2023/2/10,1.86E+03
2023/2/13,1.86E+03
2023/2/14,1.86E+03
2023/2/15,1.83E+03
2023/2/16,1.83E+03
2023/2/17,1.83E+03
2023/2/20,1.85E+03
2023/2/21,1.84E+03
2023/2/22,1.84E+03
2023/2/23,1.83E+03
2023/2/24,1.81E+03
2023/2/27,1.82E+03
2023/2/28,1.82E+03
2023/3/1,1.84E+03
2023/3/2,1.84E+03
2023/3/3,1.84E+03
2023/3/6,1.85E+03
2023/3/7,1.83E+03
2023/3/8,1.82E+03
2023/3/9,1.83E+03
2023/3/10,1.86E+03
2023/3/13,1.91E+03
2023/3/14,1.91E+03
2023/3/15,1.92E+03
2023/3/16,1.92E+03
2023/3/17,1.96E+03
2023/3/20,1.97E+03
2023/3/21,1.95E+03
2023/3/22,1.95E+03
2023/3/23,1.98E+03
2023/3/24,1.99E+03
2023/3/27,1.95E+03
2023/3/28,1.96E+03
2023/3/29,1.97E+03
2023/3/30,1.97E+03
2023/3/31,1.98E+03
2023/4/3,1.98E+03
2023/4/4,2.01E+03
2023/4/5,2.03E+03
2023/4/6,2.00E+03
2023/4/7,2.00E+03
2023/4/10,2.00E+03
2023/4/11,2.00E+03
2023/4/12,2.01E+03
2023/4/13,2.05E+03
2023/4/14,2.02E+03
2023/4/17,2.00E+03
2023/4/18,2.00E+03
2023/4/19,1.99E+03
2023/4/20,2.01E+03
2023/4/21,1.97E+03
2023/4/24,1.98E+03
2023/4/25,1.99E+03
2023/4/26,2.00E+03
2023/4/27,1.99E+03
2023/4/28,1.98E+03
2023/5/1,1.98E+03
2023/5/2,2.00E+03
2023/5/3,2.01E+03
2023/5/4,2.04E+03
2023/5/5,2.00E+03
2023/5/8,2.00E+03
2023/5/9,2.03E+03
2023/5/10,2.04E+03
2023/5/11,2.02E+03
2023/5/12,2.02E+03
2023/5/15,2.02E+03
2023/5/16,2.01E+03
2023/5/17,1.97E+03
2023/5/18,1.96E+03
2023/5/19,1.96E+03
2023/5/22,1.97E+03
2023/5/23,1.97E+03
2023/5/24,1.97E+03
2023/5/25,1.95E+03
2023/5/26,1.95E+03
2023/5/29,1.95E+03
2023/5/30,1.95E+03
2023/5/31,1.96E+03
2023/6/1,1.97E+03
2023/6/2,1.96E+03
2023/6/5,1.96E+03
2023/6/6,1.96E+03
2023/6/7,1.97E+03
2023/6/8,1.97E+03
2023/6/9,1.96E+03
2023/6/12,1.95E+03
2023/6/13,1.95E+03
2023/6/14,1.96E+03
2023/6/15,1.95E+03
2023/6/16,1.96E+03
2023/6/19,1.95E+03
2023/6/20,1.93E+03
2023/6/21,1.93E+03
2023/6/22,1.92E+03
2023/6/23,1.93E+03
2023/6/26,1.92E+03
2023/6/27,1.92E+03
2023/6/28,1.91E+03
2023/6/29,1.90E+03
2023/6/30,1.91E+03
