AuthorID,Author,Date,Content,Attachments,Reactions,,,
4.71358E+17,crypto_rachel,2022-09-10T15:10:27.0040000-04:00,"```
Testnet
Network Name: Smart Chain - Testnet
New RPC URL: https://data-seed-prebsc-1-s1.binance.org:8545/
ChainID: 97
Symbol: BNB
Block Explorer URL: https://testnet.bscscan.com```",,,,,
4.71358E+17,crypto_rachel,2022-09-10T15:11:10.3250000-04:00,"But as Bing stated, uniswap isn't on BSC",,,,,
9.59031E+17,A_B_R_B#8910,2022-09-10T17:10:44.2460000-04:00,Hi there. Is this a scam. Came up in Discord. Thanks,https://cdn.discordapp.com/attachments/597638926152499206/1018267305706266684/IMG_2958.png?ex=65f60ad4&is=65e395d4&hm=196a0d9ed45f7fc0aaba4605e8c930c17addd448822995bb4c65f7de5ce4602f&,scam (1),,,
4.27327E+17,la1210,2022-09-10T17:11:17.0270000-04:00,"Please report here #⚠│report-scams . Also, make sure to block an dreport the user",,👍 (1),,,
4.27327E+17,la1210,2022-09-10T23:50:32.7950000-04:00,"It doesn't. You can suffer impermanent loss and once your token is out of range then having 100% of token you are left with, the price of that token can still drop",,,,,
4.27327E+17,la1210,2022-09-10T23:50:56.6920000-04:00,"Also, you might want to post here instead for liquidity questions #🤝│liquidity-providers",,,,,
6.68317E+17,bluetheta4,2022-09-10T23:51:09.3120000-04:00,"Ah, sorry.",,,,,
6.68317E+17,bluetheta4,2022-09-10T23:51:32.9680000-04:00,Deleted. @La,,,,,
6.68317E+17,bluetheta4,2022-09-10T23:52:05.3060000-04:00,Thank you for the quick reply 🙂,,,,,
4.27327E+17,la1210,2022-09-10T23:52:12.8450000-04:00,"You didn't need to, it was fine. Hope your question was answered",,,,,
7.67441E+17,massbit,2022-09-11T02:08:22.0160000-04:00,not working,https://cdn.discordapp.com/attachments/597638926152499206/1018402604683898910/IMG_0413.png?ex=65f688d5&is=65e413d5&hm=c3bdf12282c79732e97092c86e08ba963d7d37d34b1e910d9eb4e5ef2cf13ecd&,,,,
7.47795E+17,sherieam,2022-09-11T02:16:38.2020000-04:00,You can try other settings below.,"https://cdn.discordapp.com/attachments/597638926152499206/1018404685633310760/Capture.PNG?ex=65f68ac6&is=65e415c6&hm=75ed992283e049d465bafd1b60188bd26f13979f01750990017c9d677c2fa0f1&,https://cdn.discordapp.com/attachments/597638926152499206/1018404685863981106/unknown.png?ex=65f68ac6&is=65e415c6&hm=03a3c40521c321370d737abbbf646b6ffb0a150fdef3941a5badd26f5f8d0167&",,,,
7.67441E+17,massbit,2022-09-11T03:48:05.2530000-04:00,"still same , error",,,,,
7.47795E+17,sherieam,2022-09-11T04:16:34.4860000-04:00,You might need to get the wallet provider support or BSC.,,,,,
5.25059E+17,thegemdegen,2022-09-11T06:10:22.5670000-04:00,"Hi. Uniswap does not ask for approve when I do any swap. In this case, is the limited approve happening every time I do a swap?",,,,,
5.08392E+17,Tickets#6981,2022-09-11T06:10:40.6620000-04:00,,,👆 (1),,,
8.25563E+17,undoubted08,2022-09-11T06:10:48.3270000-04:00,@The Gem Degen ☝️,,,,,
6.66139E+17,bing2,2022-09-11T12:15:21.9760000-04:00,@Bati Please keep topics about Uniswap only. 🙂,,,,,
9.40893E+17,batienergy,2022-09-11T12:16:03.3460000-04:00,"If you don't allow topics on climate change, that's very sad",,,,,
9.89275E+17,anthonynicholas.,2022-09-11T13:03:07.3510000-04:00,You can post your topic here 👉  #deleted-channel,,💚 (1),,,
9.89275E+17,anthonynicholas.,2022-09-11T13:03:21.9130000-04:00,I'm always down to chat about climate change and renewables 🙂,,🙏 (2),,,
9.89275E+17,anthonynicholas.,2022-09-11T13:10:06.0010000-04:00,Labs team published a blog post about JIT Liquidity on Friday - https://discord.com/channels/597638925346930701/999336397666271323/1017887868171075655,,,,,
8.43155E+17,Etherscan Bot#5753,2022-09-11T13:10:06.8220000-04:00,,,,,,
7.81121E+17,jhonnybit,2022-09-11T13:27:32.1320000-04:00,"hello, any admin?",,,,,
6.66139E+17,bing2,2022-09-11T13:27:56.9740000-04:00,Hey there 👋,,,,,
5.08392E+17,Tickets#6981,2022-09-11T13:28:05.7060000-04:00,,,,,,
9.40893E+17,batienergy,2022-09-11T13:30:38.8470000-04:00,Thank you.,,,,,
7.81121E+17,jhonnybit,2022-09-11T13:33:07.3150000-04:00,"Hi, I sent you a message on private",,,,,
6.66139E+17,bing2,2022-09-11T13:34:30.4260000-04:00,Please post any concerns here. If you need help please create a ticket.,,,,,
5.08392E+17,Tickets#6981,2022-09-11T15:03:04.9060000-04:00,,,,,,
6.66139E+17,bing2,2022-09-11T15:03:18.0080000-04:00,Please create a ticket ☝️,,,,,
2.34118E+17,superhero889100,2022-09-11T15:39:58.1780000-04:00,"Do  I have to add liquidity for both pairs to make return for DAI/USDC 
?",,,,,
6.66139E+17,bing2,2022-09-11T15:41:46.9130000-04:00,Technically that would depend on the range you want to put your position in. Single-sided deposits can only be done if your position is out of range when you add it.,,,,,
2.34118E+17,superhero889100,2022-09-11T15:42:42.8490000-04:00,well I want to add to a pool,,,,,
2.34118E+17,superhero889100,2022-09-11T15:43:08.3990000-04:00,but I only have some DAI right now but it isn't cleared yet on my exchange I use,,,,,
2.34118E+17,superhero889100,2022-09-11T15:43:16.5460000-04:00,@Bing²,,,,,
2.34118E+17,superhero889100,2022-09-11T15:44:02.3050000-04:00,thanks for the help,,,,,
6.66139E+17,bing2,2022-09-11T15:45:25.1640000-04:00,Best to ask around in #🤝│liquidity-providers for fellow LPs for suggestions. You can also check this help article here to learn more about providing liquidity: https://support.uniswap.org/hc/en-us/articles/7423194619661-How-to-provide-liquidity-on-Uniswap-V3,,,,,
6.66211E+17,eiger3970,2022-09-11T16:55:45.9260000-04:00,Hi,,,,,
6.66211E+17,eiger3970,2022-09-11T16:56:53.3340000-04:00,How secure is Uniswap? I’m terms of Bitcoin being decentralised And always being able to access my funds from my cold wallet.,,,,,
6.66211E+17,eiger3970,2022-09-11T16:58:11.3810000-04:00,And can I buy bitcoin on uni swap? No DMs!,,,,,
4.27327E+17,la1210,2022-09-11T17:05:14.5080000-04:00,"Uniswap is a decentralized application deployed on Eth mainnet, Polygon, Arbitrum and Optimism. You can swap tokens with the wrapped version of Bitcoin on each respective network but if you are referring buying through FIAT, you will have to find another route. 

As for how secure it is, Uniswap being decentralized I guess is one of it and it is audited. Just be careful of the fake sites, the official ones is `app.uniswap.org`
https://github.com/Uniswap/v3-periphery/blob/main/audits/abdk/audit.pdf
https://github.com/Uniswap/v3-core/tree/main/audits",,,,,
6.66211E+17,eiger3970,2022-09-11T17:15:58.0010000-04:00,Thanks. So what is the benefit and utility being ‘decentralised�? Less fees and higher APYs? Eth isn’t decentralised like BTC as I understand Eth network runs on centralised Amazon cloud servers.,,,,,
6.66211E+17,eiger3970,2022-09-11T17:18:09.0590000-04:00,I would like to use Uniswap but I’m not clear on the difference/benefits compared to DeFiChain and Crypto.com DeFi wallets?,,,,,
4.27327E+17,la1210,2022-09-11T17:19:07.0470000-04:00,"Errr, not sure where you get those information but no.",,,,,
4.27327E+17,la1210,2022-09-11T17:21:05.7500000-04:00,The benefit of using Uniswap comes with the network it is deployed on being decentralized. If you are new to ETH network space though I suggest reading more resources about ETH networks and maybe even decentralized apps. There are a lot of good videos on YT.,,,,,
4.27327E+17,la1210,2022-09-11T17:21:55.8000000-04:00,"Specific to Uniswap, you can check here https://support.uniswap.org/hc/en-us/articles/8671701219853-What-is-Uniswap-",,,,,
6.66211E+17,eiger3970,2022-09-11T17:22:31.6470000-04:00,"Thanks, most info is from BTC sources. Will read your info.",,,,,
7.38434E+17,thexxchamp,2022-09-11T18:40:20.2820000-04:00,Been lp since 2020... But man... That impermanent loss be killing... Gon keep lp till on uni for a minute... Anyone feeling my pain?,,,,,
8.35191E+17,fugitive1337,2022-09-11T18:54:28.7260000-04:00,Any good fiat on-ramps for CC?,,,,,
4.27327E+17,la1210,2022-09-11T18:58:03.0180000-04:00,You might get more responses here instead #🤝│liquidity-providers,,,,,
5.08392E+17,Tickets#6981,2022-09-11T19:40:48.3710000-04:00,,,,,,
6.66211E+17,eiger3970,2022-09-11T19:53:19.4220000-04:00,"So UniSwap only shows wallet connect to Coinbase or WalletConnect, any others available?",,,,,
6.66139E+17,bing2,2022-09-11T19:58:54.5110000-04:00,If your wallet is WalletConnect compatible then you can still connect it to the UI.,,,,,
6.66211E+17,eiger3970,2022-09-11T20:01:03.5420000-04:00,"I’m using Crypto.com DeFi and DeFiChain wallets. MetaMask too, but it’s too heavy with Eth and Eth fees. Any suggestions?  No DMs.",,,,,
6.66139E+17,bing2,2022-09-11T20:02:59.4220000-04:00,All transactions in Uniswap will require you ETH to pay for transaction fees/miner fees in Ethereum.,,,,,
6.66211E+17,eiger3970,2022-09-11T20:04:21.6220000-04:00,Ok. But I can’t find a wallet to connect to UniSwap. Coinbase’s fees are too high.,,,,,
9.64568E+17,discovercrypto.org,2022-09-11T21:23:08.3900000-04:00,You can download a Wallet like Talley.Cash or MetaMask,,,,,
9.64568E+17,discovercrypto.org,2022-09-11T21:23:37.7800000-04:00,Does anyone know of the genie AirDrop that was supposed to happen in August? Did that get pushed back?,,,,,
6.66139E+17,bing2,2022-09-11T21:25:19.8070000-04:00,"No news about this yet, best to check in Genie's Discord: https://discord.gg/genie",,,,,
9.64568E+17,discovercrypto.org,2022-09-11T21:25:38.4490000-04:00,Ty I thought they were already acquired. I’ll head there.,,,,,
2.97685E+17,.chraso,2022-09-11T21:52:15.0180000-04:00,Is there any way to know how much investment is from a country?,,,,,
4.27327E+17,la1210,2022-09-11T21:53:58.0530000-04:00,Try asking here #🦄│speculation,,,,,
3.95268E+17,hii.eth,2022-09-11T21:59:37.6220000-04:00,,,,,,
3.95268E+17,hii.eth,2022-09-11T22:00:00.2710000-04:00,Gmgm,,,,,
7.47795E+17,sherieam,2022-09-11T22:01:46.3280000-04:00,Please move this to the #deleted-channel channel.,,,,,
8.35191E+17,fugitive1337,2022-09-11T22:46:40.4350000-04:00,Really need to find a way to on ramp no kyc,,,,,
6.66139E+17,bing2,2022-09-11T22:50:31.5710000-04:00,Not sure what you mean by that. If you're having issues with Uniswap please create a ticket in #🙋│help,,,,,
5.08392E+17,Tickets#6981,2022-09-11T22:51:25.8020000-04:00,,,,,,
4.87837E+17,the_shining_,2022-09-11T23:18:39.4630000-04:00,Has anyone attempted to scam you with a browser link: nft-uniswap.org  ??,,,,,
4.27327E+17,la1210,2022-09-11T23:19:42.4340000-04:00,"There was someone who reported yesterday. If somebody is DMing you rn, please report in #⚠│report-scams with screenshots.",,,,,
4.87837E+17,the_shining_,2022-09-11T23:20:46.1510000-04:00,They met me on linkedin and have been chatting to me on whatsapp,,,,,
4.87837E+17,the_shining_,2022-09-11T23:21:16.8630000-04:00,Advising me to buy bitcoin and then convert it to USDT through customer service at that link nft-uniswap.org,,,,,
4.87837E+17,the_shining_,2022-09-11T23:21:46.5170000-04:00,They said it is a blockchain AMM liquidity pool,,,,,
4.87837E+17,the_shining_,2022-09-11T23:21:55.3470000-04:00,That uses USDT,,,,,
4.27327E+17,la1210,2022-09-11T23:22:23.7660000-04:00,"Clearly a scam. If they're not here, there's not so much we can do about it. Be careful. The official site is `app.uniswap.org`",,,,,
4.87837E+17,the_shining_,2022-09-11T23:23:01.5130000-04:00,Ok. Thank you. I just wanted as many people to be aware,,👍 (1),,,
4.87837E+17,the_shining_,2022-09-11T23:23:14.7390000-04:00,,https://cdn.discordapp.com/attachments/597638926152499206/1018723438455693452/Screenshot_20220910_200132.jpg?ex=65f7b3a2&is=65e53ea2&hm=f71195d32d8bd86256884d9e6f37d04496025da16c7ead16ea84ff5acacc2502&,"�?(2),🤬 (1),‼️ (1),😡 (1)",,,
4.87837E+17,the_shining_,2022-09-11T23:23:48.9360000-04:00,That's what the site looks like in the browser of Trust Wallet,,,,,
8.96204E+17,goldfarmer8464,2022-09-12T00:18:08.7820000-04:00,How to open the v2,,,,,
7.47795E+17,sherieam,2022-09-12T00:18:51.0810000-04:00,"Hello team, please use this latest release for the IPFS so that users will have access to all other networks. (version 4.19.6 is only in ETH network):

Please try using the alternate links / official IPFS gateways here for the meantime: https://github.com/Uniswap/interface/releases/tag/v4.112.0

Or these links: 
- https://bafybeiaj2ag2weiaunygwxxtpzd4ownz57mekbtpfmvthkrzrp77uxsct4.ipfs.dweb.link/
- https://bafybeiaj2ag2weiaunygwxxtpzd4ownz57mekbtpfmvthkrzrp77uxsct4.ipfs.cf-ipfs.com/",,,,,
8.96204E+17,goldfarmer8464,2022-09-12T01:49:59.9450000-04:00,I want use v2 toswap but i always open the v3,,,,,
7.47795E+17,sherieam,2022-09-12T01:54:30.8810000-04:00,Please check the links here. https://discord.com/channels/597638925346930701/597638926152499206/1017298420505006100,,,,,
8.43155E+17,Etherscan Bot#5753,2022-09-12T01:54:31.7060000-04:00,,,,,,
7.96471E+17,fry#6205,2022-09-12T03:50:18.2130000-04:00,"When the Uniswap fee switch is tested, the next step will be to figure out how to redirect some of the revenue to holders of the token. This is an extremely bullish catalyst for Uni price. Will be great to see this token make use of the real yield narrative.",,,,,
9.89275E+17,anthonynicholas.,2022-09-12T05:05:12.7490000-04:00,gm,,,,,
1.01824E+18,Rocky675#8596,2022-09-12T06:40:17.5100000-04:00,Can i swap KAI token,,,,,
8.25563E+17,undoubted08,2022-09-12T06:44:59.5830000-04:00,Replied here: https://discord.com/channels/597638925346930701/915709744809914471/1018834376966021130,,,,,
8.43155E+17,Etherscan Bot#5753,2022-09-12T06:45:00.2720000-04:00,,,,,,
9.89275E+17,anthonynicholas.,2022-09-12T07:08:32.9140000-04:00,Let us know if you still need help @Rocky675,,,,,
1.00951E+18,toxdoyx,2022-09-12T08:32:32.3930000-04:00,Hello everyone,,👋 (2),,,
1.00951E+18,toxdoyx,2022-09-12T08:40:00.9880000-04:00,Can I ask something?,,,,,
8.25563E+17,undoubted08,2022-09-12T08:42:38.0490000-04:00,"Hi there, please post it here. https://dontasktoask.com/",,😍 (1),,,
9.89275E+17,anthonynicholas.,2022-09-12T08:43:13.2030000-04:00,Hey!,,,,,
1.00951E+18,toxdoyx,2022-09-12T08:43:45.1480000-04:00,Hello.,,,,,
9.89275E+17,anthonynicholas.,2022-09-12T08:44:05.0480000-04:00,"If you have any questions, let us know 🙂",,,,,
1.00951E+18,toxdoyx,2022-09-12T08:44:55.7710000-04:00,Is new listed token in uniswap announced always?,,,,,
8.25563E+17,undoubted08,2022-09-12T08:49:10.7090000-04:00,"Hi, no ads allowed please read #📙│rules",,,,,
1.00951E+18,toxdoyx,2022-09-12T08:49:35.8910000-04:00,Is new listed token in uniswap announced always?,,,,,
8.25563E+17,undoubted08,2022-09-12T08:50:49.4770000-04:00,"No, please know that Uniswap is permissionless and censorship resistant system. Anyone can list their token in Uniswap and it's NOT announced anywhere.",,,,,
5.08392E+17,Tickets#6981,2022-09-12T08:51:02.3800000-04:00,,,,,,
8.25563E+17,undoubted08,2022-09-12T08:52:08.1080000-04:00,"�?Uniswap Team and support members will NEVER DM you first and never ask for your information or send you links to ""fix"" your account. Always be suspicious of anyone reaching out to you in private. 

�?DO NOT share your seed phrases or private keys to anyone. Or clink on any link to ***validate*** your wallet.",,,,,
1.00951E+18,toxdoyx,2022-09-12T08:52:49.8980000-04:00,Thanks much,,"👍 (2),np (1)",,,
2.05738E+17,willo_0x,2022-09-12T10:39:59.4840000-04:00,@serv.eth (support team),,,,,
2.05738E+17,willo_0x,2022-09-12T10:40:09.0920000-04:00,boys can i have some assistance please in #💻│dev-chat,,,,,
2.05738E+17,willo_0x,2022-09-12T10:40:16.0110000-04:00,UwU,,,,,
8.25563E+17,undoubted08,2022-09-12T10:55:36.7140000-04:00,https://discord.com/channels/597638925346930701/607978109089611786/1018894676142608466,,,,,
8.43155E+17,Etherscan Bot#5753,2022-09-12T10:55:37.1700000-04:00,,,,,,
8.21269E+17,demonformer,2022-09-12T11:16:24.0590000-04:00,hello,,,,,
9.89275E+17,anthonynicholas.,2022-09-12T11:25:15.7810000-04:00,Hey 👋,,,,,
8.21269E+17,demonformer,2022-09-12T11:30:29.1840000-04:00,how do i determine the swap fee of a pool?,,,,,
8.21269E+17,demonformer,2022-09-12T11:30:46.8130000-04:00,what solidity function / how do i call in contract?,,,,,
8.25563E+17,undoubted08,2022-09-12T11:31:40.8240000-04:00,"Hi, contract related query is posted in #💻│dev-chat channel.",,,,,
8.21269E+17,demonformer,2022-09-12T11:32:12.7110000-04:00,thanks gov,,👍 (1),,,
9.89275E+17,anthonynicholas.,2022-09-12T11:56:07.7820000-04:00,New sticker,,,,,
9.89275E+17,anthonynicholas.,2022-09-12T11:56:11.1030000-04:00,:unicornbarf:,,,,,
9.89275E+17,anthonynicholas.,2022-09-12T11:56:22.3590000-04:00,🤩,,,,,
8.06619E+17,chicomaravilla,2022-09-12T12:08:12.9560000-04:00,"if I have a position on an uniswap pool, what will happen with the merge?",,,,,
8.06619E+17,chicomaravilla,2022-09-12T12:08:20.4350000-04:00,@Anthony,,,,,
8.06619E+17,chicomaravilla,2022-09-12T12:08:28.6020000-04:00,or anyone from the team,,,,,
6.66139E+17,bing2,2022-09-12T12:09:38.2600000-04:00,"Nothing. Your pool will continue to exist, no action needed for end users during the merge. 🙂",,,,,
3.50729E+17,d1g1tz,2022-09-12T12:24:27.5810000-04:00,"how can I get roles
I cnat find info in the server",,,,,
8.06619E+17,chicomaravilla,2022-09-12T12:26:49.8770000-04:00,"thanks, I have a bit of trouble understanding this",,,,,
8.06619E+17,chicomaravilla,2022-09-12T12:27:16.5630000-04:00,wouldn't my position on the pool would be PoW still?,,,,,
6.66139E+17,bing2,2022-09-12T12:27:29.4220000-04:00,No need to get roles to access the public channels. What info are you looking for?,,🫂 (1),,,
3.50729E+17,d1g1tz,2022-09-12T12:27:55.4970000-04:00,"nothing
just wanted a role to show im active and not someone who just joined:p",,,,,
8.06619E+17,chicomaravilla,2022-09-12T12:28:32.2120000-04:00,just be active then ser,,,,,
5.08392E+17,Tickets#6981,2022-09-12T12:28:35.0390000-04:00,,,,,,
6.66139E+17,bing2,2022-09-12T12:28:42.3000000-04:00,@ChicoMaravilla ☝️,,,,,
8.06619E+17,chicomaravilla,2022-09-12T12:28:43.3560000-04:00,I can tell you're not because you don't have any roles,,,,,
3.50729E+17,d1g1tz,2022-09-12T12:28:53.0100000-04:00,I am,,,,,
8.06619E+17,chicomaravilla,2022-09-12T12:29:09.2760000-04:00,then why you don't have a role? :KEK:,,,,,
3.50729E+17,d1g1tz,2022-09-12T12:29:11.4510000-04:00,trying to at least,,,,,
8.06619E+17,chicomaravilla,2022-09-12T12:29:15.9100000-04:00,haha just joking,,,,,
3.50729E+17,d1g1tz,2022-09-12T12:29:21.6980000-04:00,"u dont either
so how do u know it works like that:p",,,,,
8.06619E+17,chicomaravilla,2022-09-12T12:29:37.9560000-04:00,cause you trust me,,,,,
9.89275E+17,anthonynicholas.,2022-09-12T13:08:50.3170000-04:00,I'm going to add roles to the server soon 🙂 @d1g1tz @ChicoMaravilla,,,,,
9.89275E+17,anthonynicholas.,2022-09-12T13:09:00.7730000-04:00,:flyingunicorn:,,,,,
6.1916E+17,deekayw,2022-09-12T13:16:45.6810000-04:00,"Hi guys
Im new to liquidity and V3

I want to know if you set a range between $1 and $2
And price moves to $3 

Then the liq is out of range yes and wont earn fees


What will happen if the price moves back to range?

Will the pool be activated again automatically?



Any useful articles on this?",,,,,
6.66139E+17,bing2,2022-09-12T13:17:40.2960000-04:00,"Yes, once the price is back in range then your position will earn fees again.",,,,,
6.1916E+17,deekayw,2022-09-12T13:28:51.3840000-04:00,"In ur point of view, what are the risks you see except impairment loss?



Also how do i earn uniswap token?
Can u farm sslp?",,,,,
6.66139E+17,bing2,2022-09-12T13:30:51.1850000-04:00,"Best to ask fellow LPs about this in #🤝│liquidity-providers 
Currently there are no farming programs in Uniswap and no UNI tokens as rewards.",,,,,
8.64526E+17,joanem,2022-09-12T15:21:59.7580000-04:00,You can check third party tools listed in #🔗│helpful-links,,,,,
6.66139E+17,bing2,2022-09-12T15:22:24.7790000-04:00,V3 analytics doesn't track APR. You can try exploring the tools Joan mentioned instead.,,,,,
6.66139E+17,bing2,2022-09-12T15:23:22.8050000-04:00,You will have to check with the tools' developers for that to confirm.,,,,,
6.66139E+17,bing2,2022-09-12T15:24:41.0960000-04:00,Uniswap analytics is only at https://info.uniswap.org/home#/pools No APR is being tracked here.,,,,,
6.68317E+17,bluetheta4,2022-09-12T15:26:11.7360000-04:00,"nvm, thank you for the support.",,,,,
6.68317E+17,bluetheta4,2022-09-12T15:26:31.9190000-04:00,"I understand, it's all from outside tools.",,👍 (1),,,
9.28069E+17,WoellaM#1359,2022-09-12T20:20:52.9390000-04:00,"Another risk besides the impermanent loss is the inventory holding risk. As traditional market makers are exposed to inventory holding risk usually for an extremely short time (say seconds), liquidity providers in Uniswap are exposed to this during their entire duration of the position (say days or months). So this is definitely a risk to consider when providing liquidity.",,,,,
8.22866E+17,andreapn.eth,2022-09-12T23:19:30.9400000-04:00,"hi, can UNI on arbitrum vote for proposal?",,,,,
5.27483E+17,inahlikenoother,2022-09-12T23:20:50.8300000-04:00,Only in ETH network,,,,,
9.481E+17,cryptocookera0419,2022-09-12T23:26:34.3200000-04:00,"I have a question about uniswap v3
how can i reset token pair who created already?
I got this problem when token airdrop without set price, user set price first on uniswap v3.
Is there any solution for this problem?",,,,,
8.22866E+17,andreapn.eth,2022-09-12T23:29:53.1780000-04:00,thanks,,,,,
7.47795E+17,sherieam,2022-09-12T23:55:59.9430000-04:00,"Hi there! You cannot reset a token once added to the liquidity pool. If you want to correct the spot price, the spot price changes only during swapping. You need to do a swap to correct the price and then add liquidity. You can learn more from the resources before and the whitepaper. 

https://docs.uniswap.org/protocol/concepts/V3-overview/concentrated-liquidity

https://uniswap.org/whitepaper-v3.pdf

Additional resources here: https://discord.com/channels/597638925346930701/849513079792336977/851734417688494092",,,,,
8.43155E+17,Etherscan Bot#5753,2022-09-12T23:56:00.4650000-04:00,,,,,,
9.14123E+17,ramon168,2022-09-13T00:17:32.7320000-04:00,"I have airdrop contract, locked trade for user. When user create a pool in uniswap, they can approve token but can't add liquidity. A uniswap error has appeared, the price has been set. (this is not available for sushiswap)

When owner create pool, price has been set automatically like pool of user",,,,,
9.14123E+17,ramon168,2022-09-13T00:18:48.4900000-04:00,Fix your v3 please,,,,,
4.27327E+17,la1210,2022-09-13T00:20:10.1580000-04:00,Does your token have tax / FOT on it?,,,,,
9.14123E+17,ramon168,2022-09-13T00:20:22.0090000-04:00,No tax,,,,,
9.14123E+17,ramon168,2022-09-13T00:20:30.6630000-04:00,Only locktrade function,,,,,
4.27327E+17,la1210,2022-09-13T00:20:46.4450000-04:00,Create a ticket here so we can check #🙋│help,,,,,
8.77216E+17,mkkapps#5348,2022-09-13T00:45:17.2870000-04:00,"How to swap iotx to usdt,  in trust wallet through uniswap exchange",,,,,
8.77216E+17,mkkapps#5348,2022-09-13T00:47:22.2390000-04:00,"When i connected to uniswap in trust wallet, iotx balance was not showing",,,,,
8.77216E+17,mkkapps#5348,2022-09-13T00:47:44.3660000-04:00,Please help me,,,,,
9.11955E+17,phoebe7200,2022-09-13T00:48:12.8560000-04:00,"Please open a ticket here #🙋│help for further checking,",,,,,
6.85716E+17,martz507#9842,2022-09-13T00:57:34.2790000-04:00,When will Tamadodge be listed on Uniswap?,,,,,
7.47795E+17,sherieam,2022-09-13T00:58:41.0580000-04:00,That is best to ask the token author. Anyone can list their tokens in Uniswap anytime. You can check with the token support or author the token launch.,,,,,
9.14123E+17,ramon168,2022-09-13T01:10:00.4050000-04:00,Back to v2 please support team. v3's interface is too hard to use,,,,,
9.14123E+17,ramon168,2022-09-13T01:11:51.2100000-04:00,I like 1 eth = 10 mytoken conversely 10 mytoken = 1 ETH,,,,,
5.08392E+17,Tickets#6981,2022-09-13T01:14:35.3950000-04:00,,,,,,
9.11955E+17,phoebe7200,2022-09-13T01:15:10.5590000-04:00,You can still use V2 interface though. ☝️,,,,,
2.746E+17,alexanderlegionnetwork,2022-09-13T02:14:42.1660000-04:00,"Hello! IS YOUR PROJECT NOT WORKING? It is not possible to exchange usdg for usdt, there is not enough liquidity for this transaction.",,,,,
5.27483E+17,inahlikenoother,2022-09-13T02:16:28.5060000-04:00,Please open a ticket here #🙋│help Do not accept help from DMs,,,,,
8.56812E+17,greyireland,2022-09-13T02:36:03.4730000-04:00,How to switch to v2?,,,,,
8.56812E+17,greyireland,2022-09-13T02:36:20.5970000-04:00,What is the url of v2?,,,,,
5.27483E+17,inahlikenoother,2022-09-13T02:37:35.3510000-04:00,@0xxxxx 👆,,👍 (1),,,
4.50611E+17,antiyro,2022-09-13T07:00:35.7940000-04:00,any idea on why there is no uniswap mobile app?,,,,,
