AuthorID,Author,Date,Content,Attachments,Reactions,,,,
7.47795E+17,sherieam,2022-01-03T05:30:02.1610000-05:00,Uniswap UI had that feature but removed after a lot of scammers took advantage of it.,,,,,,
6.83992E+17,aetoday,2022-01-03T05:30:23.2430000-05:00,"ohh, i see. 😦",,,,,,
7.47795E+17,sherieam,2022-01-03T05:41:48.9870000-05:00,"@SpellVamp Your ticket >>> #deleted-channel 
⚠️ Please DO NOT accept help or support in direct messages (DMs), there are scammers lurking so beware!",,,,,,
9.27242E+17,securecoded#3777,2022-01-03T06:26:13.8580000-05:00,#general,,,,,,
8.71251E+17,68686,2022-01-03T07:09:22.1250000-05:00,"This website app.uniswap.org/index.html is currently offline. Cloudflare's Always Online�?shows a snapshot of this web page from the Internet Archive's Wayback Machine. To check for the live version, click Refresh.",,,,,,
8.71251E+17,68686,2022-01-03T07:10:35.4710000-05:00,I can't open the website，How should I do,,,,,,
8.25563E+17,undoubted08,2022-01-03T07:10:50.7550000-05:00,"Please do a hard refresh on your browser CTRL SHIFT R or basic troubleshooting steps like clearing cache, cookies (just make sure you have a back-up for important info).",,,,,,
8.71251E+17,68686,2022-01-03T07:12:53.0720000-05:00,"well,thank you",,👍 (1),,,,
8.71251E+17,68686,2022-01-03T07:15:59.8160000-05:00,"After I refreshed it, it returned to normal, but when I reopen the webpage, it still prompts",,,,,,
8.25563E+17,undoubted08,2022-01-03T07:20:28.9420000-05:00,"Just continue with CTRL SHIFT R if it still doesn't help try to clear cache, cookies. Make sure you have a back up for your seedphrase/passwords or any important info",,,,,,
9.23535E+17,lazylarrymaking,2022-01-03T08:34:39.7610000-05:00,Has anybody had any issues this morning with wrld when I pull it up it's showing a zero balance now,,,,,,
8.25563E+17,undoubted08,2022-01-03T08:36:01.0200000-05:00,"�?Uniswap Team and support members will NEVER DM you first and never ask for your information or send you links to ""fix"" your account. Always be suspicious of anyone reaching out to you in private. 

�?DO NOT share your seed phrases or private keys to anyone. Or clink on any link to ***validate*** your wallet.",,,,,,
9.23535E+17,lazylarrymaking,2022-01-03T09:18:28.6980000-05:00,Has anybody had a problem with World on uniswap balance not showing up,,,,,,
8.25563E+17,undoubted08,2022-01-03T09:18:58.0700000-05:00,Please reply to your ticket here #deleted-channel,,,,,,
2.90953E+17,notgmi,2022-01-03T09:36:21.2800000-05:00,Anyone knows why it keeps saying Allow the Uniswap Protocol to use your X ? Even though I did it and it already allowed successfully on etherscan ?,,,,,,
5.08392E+17,Tickets#6981,2022-01-03T09:37:04.2430000-05:00,"For troubleshooting help, please go to #🙋│help and click on the ""**Open a Ticket**"" button. Scroll down to the bottom of Uniswap channel lists (left pane) to see your ticket (that shows your discord username), then state your issue there. Wait for next Uniswap helpers/support team to respond. 

:warning: Please **DO NOT** accept help or support in direct messages (DMs), there are scammers lurking so beware!
https://cdn.discordapp.com/attachments/597638926152499206/867154929973723146/Create_a_ticket.png",,,,,,
8.25563E+17,undoubted08,2022-01-03T09:37:10.6510000-05:00,@mathias ☝️,,,,,,
3.98479E+17,swing_pop,2022-01-03T09:56:44.5730000-05:00,"Guys what's going on with the UI on Polygon? I'm trying to add single-sided USDT/USDC liquidity since yesterday, the preview button is available, but when I click on it no prompt is sent to the wallet (the transaction is never presented to the user for approval).

I have tried several browsers and also the IPFS UI. Help anyone?",https://cdn.discordapp.com/attachments/597638926152499206/927576219929686036/unknown.png?ex=65f8562c&is=65e5e12c&hm=f0ad9072dd3b620799472822df262523248ebee9049eb5ef9109839f32568732&,,,,,
8.25563E+17,undoubted08,2022-01-03T09:59:33.9920000-05:00,"Please create a ticket following the instructions above ☝️ and DO NOT accept help or support in direct messages (DMs), there are scammers lurking so beware!",,,,,,
9.22479E+17,Jerry19#4201,2022-01-03T10:38:24.4910000-05:00,How to fix help,https://cdn.discordapp.com/attachments/597638926152499206/927586705425465444/Screenshot_2022-01-03-22-06-58-198_com.wallet.crypto.trustapp.jpg?ex=65f85ff0&is=65e5eaf0&hm=b727dc8929a82f2084ce4b4d3c240accb69e6ccc3b8243e277f366d6a164ec41&,,,,,
8.25563E+17,undoubted08,2022-01-03T10:39:19.0530000-05:00,"Hi, please choose Ethereum network on your wallet. Seems you're on Binance network.",,,,,,
8.25563E+17,undoubted08,2022-01-03T10:39:29.5550000-05:00,"By the way,  DO NOT accept help or support in direct messages (DMs), there are scammers lurking so beware!",,,,,,
9.27591E+17,utsavag,2022-01-03T11:15:47.0200000-05:00,Why is my transaction being failed everytime?,https://cdn.discordapp.com/attachments/597638926152499206/927596111160573962/WhatsApp_Image_2022-01-03_at_21.44.51.jpeg?ex=65f868b2&is=65e5f3b2&hm=02625c2ef69e8f8f9b1f27baecc41ad646e9a52b1f4a60260e4d081d889e739a&,,,,,
5.08392E+17,Tickets#6981,2022-01-03T11:16:12.5720000-05:00,"For troubleshooting help, please go to #🙋│help and click on the ""**Open a Ticket**"" button. Scroll down to the bottom of Uniswap channel lists (left pane) to see your ticket (that shows your discord username), then state your issue there. Wait for next Uniswap helpers/support team to respond. 

:warning: Please **DO NOT** accept help or support in direct messages (DMs), there are scammers lurking so beware!
https://cdn.discordapp.com/attachments/597638926152499206/867154929973723146/Create_a_ticket.png",,,,,,
6.66139E+17,bing2,2022-01-03T11:16:19.0810000-05:00,Please create a ticket following the instructions above☝️ DO NOT accept any help/support in direct messages (DMs). They're all scammers.,,,,,,
9.27591E+17,utsavag,2022-01-03T11:30:53.0660000-05:00,is there any option to recover my fees on failed transaction,,,,,,
8.25563E+17,undoubted08,2022-01-03T11:32:18.5190000-05:00,"Hi there, unfortunately, there's none. Ethereum transactions are immutable and irreversible--no one can undo transactions or refund you any losses.",,,,,,
9.27591E+17,utsavag,2022-01-03T11:34:18.2650000-05:00,ethereum network is really bad,,,,,,
3.27414E+17,chungabooba,2022-01-03T11:43:58.7570000-05:00,lol,,,,,,
9.09139E+17,Đinh Tài#4154,2022-01-03T11:55:28.3470000-05:00,hi,,,,,,
7.57324E+17,PolymathCrypto#3814,2022-01-03T12:00:29.8700000-05:00,"Hi Team, I have an old UNN/WETH V2 pool I'm trying to remove, but when I click, nothing actions, any advice?",,,,,,
5.08392E+17,Tickets#6981,2022-01-03T12:01:21.9110000-05:00,"For troubleshooting help, please go to #🙋│help and click on the ""**Open a Ticket**"" button. Scroll down to the bottom of Uniswap channel lists (left pane) to see your ticket (that shows your discord username), then state your issue there. Wait for next Uniswap helpers/support team to respond. 

:warning: Please **DO NOT** accept help or support in direct messages (DMs), there are scammers lurking so beware!
https://cdn.discordapp.com/attachments/597638926152499206/867154929973723146/Create_a_ticket.png",,,,,,
6.66139E+17,bing2,2022-01-03T12:01:29.1930000-05:00,Please create a ticket following the instructions above☝️ DO NOT accept any help/support in direct messages (DMs). They're all scammers.,,,,,,
7.57324E+17,PolymathCrypto#3814,2022-01-03T12:03:44.3360000-05:00,thanks,,,,,,
4.49633E+17,Showtime#6925,2022-01-03T12:29:21.9360000-05:00,Can anyone tell me how u transfer ur USDS COINS from Metamask to Binance,,,,,,
4.49633E+17,Showtime#6925,2022-01-03T12:32:13.5350000-05:00,So many people wring me are they real or fake helping me on private?,,,,,,
6.66139E+17,bing2,2022-01-03T12:32:36.8090000-05:00,"‼️Uniswap Team and support members will **NEVER DM** you first and never ask for your information or send you links to ""fix"" your account. Always be suspicious of anyone reaching out to you in private. 

�?**DO NOT** share your seed phrases or private keys to anyone and **DO NOT** paste them in any website!",,,,,,
6.66139E+17,bing2,2022-01-03T12:33:12.8690000-05:00,Please reach out to Binance instead.,,,,,,
4.49633E+17,Showtime#6925,2022-01-03T12:33:23.8410000-05:00,Ok thanks,,,,,,
6.78076E+17,harpoonjs.eth,2022-01-03T12:39:52.1940000-05:00,is avalanch an ethereum layer2 or competitor?,,,,,,
9.26693E+17,Zloty#3185,2022-01-03T13:32:39.5130000-05:00,Hi,,,,,,
9.18454E+17,Eula#1571,2022-01-03T13:39:13.1230000-05:00,What are you swapping?,,,,,,
5.32196E+17,sanotain,2022-01-03T13:44:14.4690000-05:00,"Hey guys, so I will be looking to create a new pair liquidity pool. But I'm trying to understand how pool creators actually make money? Can anyone help with this?",,,,,,
5.32196E+17,sanotain,2022-01-03T13:50:05.9800000-05:00,Do we get a % like everyone else per transaction? As part of the fee,,,,,,
8.25563E+17,undoubted08,2022-01-03T13:53:04.8120000-05:00,"Hi there, you can check resources here: 
v2: https://docs.uniswap.org/protocol/V2/concepts/core-concepts/pools
v3: https://docs.uniswap.org/protocol/concepts/V3-overview/concentrated-liquidity",,👍 (1),,,,
5.32196E+17,sanotain,2022-01-03T14:27:35.7350000-05:00,So I can't see how actual liquidity owners make money? Or is an owner treated as a normal liquidity provider?,,,,,,
8.25563E+17,undoubted08,2022-01-03T14:38:04.8040000-05:00,"Yes, as liquidity provider. LPs earn from swap fees which is distributed pro-rata. But can also be subject to impermanent loss: https://academy.binance.com/en/articles/impermanent-loss-explained",,,,,,
8.27675E+17,saintnico#6975,2022-01-03T15:16:56.8620000-05:00,hey can you still create an LP on uniswap,,,,,,
6.66139E+17,bing2,2022-01-03T15:19:46.8460000-05:00,"If the pair doesn't exist, yes. If it's already existing, you can add into that pool.",,,,,,
7.55158E+17,_dave_s,2022-01-03T15:24:31.8100000-05:00,"Hi, I have a noob question about a pool position I created for ENS/ETH pair. It has run about 2.5 days, & IL is -4%, fees are +0.004%. ETH side decreased by 7% even though midpoint shifted to +ENS by about 2%. Not great! Why is IL so high? Bad range? Bad Pair? Arbs winning? ETH down by -2.5% a factor?. Thanks!",,,,,,
8.88134E+17,reza_chi2500#3169,2022-01-03T15:25:13.6290000-05:00,"Hello. I had a transaction from a decentralized uni sawp exchange, but unfortunately it did not give me AirDrop. How can I get AirDrop?",,,,,,
6.66139E+17,bing2,2022-01-03T15:25:51.7860000-05:00,"To be eligible, you must have a Unsiwap transaction at least once before **Sept. 1, 2020 12:00 AM UTC**.",,,,,,
8.88134E+17,reza_chi2500#3169,2022-01-03T15:28:07.7820000-05:00,I did the transaction but I do not remember the exact date,,,,,,
6.66139E+17,bing2,2022-01-03T15:31:01.8330000-05:00,You can try checking if you're eligible in https://app.uniswap.org/,https://cdn.discordapp.com/attachments/597638926152499206/927660347253481472/unknown.png?ex=65f8a485&is=65e62f85&hm=9f14eba9356811c86225fe1f81fa4fba5760bf49cee0e131b6db06797796929c&,,,,,
6.66139E+17,bing2,2022-01-03T15:31:16.7910000-05:00,"‼️Uniswap Team and support members will **NEVER DM** you first and never ask for your information or send you links to ""fix"" your account. Always be suspicious of anyone reaching out to you in private. 

�?**DO NOT** share your seed phrases or private keys to anyone and **DO NOT** paste them in any website!",,,,,,
8.27675E+17,saintnico#6975,2022-01-03T15:37:59.5960000-05:00,"Thanks, it doesnt exist yet, I am creating it for the first time, but the second i approve the transaction it takes my back to the setup screen and on metamask the transaction comes up as failed. I have enough liquidity and i raised the gas fee but it still wont go through",,,,,,
8.27675E+17,saintnico#6975,2022-01-03T15:46:59.0330000-05:00,"Uni I am trying to give you money here, some help would be nice",,,,,,
8.25563E+17,undoubted08,2022-01-03T15:48:48.3830000-05:00,What tokens are you trying to add liquidity?,,,,,,
8.25563E+17,undoubted08,2022-01-03T15:49:47.9360000-05:00,"No money doesn't actually go to Uniswap, swap fees go to Liquidity Providers--not Uni",,,,,,
5.08392E+17,Tickets#6981,2022-01-03T15:50:08.8090000-05:00,"For troubleshooting help, please go to #🙋│help and click on the ""**Open a Ticket**"" button. Scroll down to the bottom of Uniswap channel lists (left pane) to see your ticket (that shows your discord username), then state your issue there. Wait for next Uniswap helpers/support team to respond. 

:warning: Please **DO NOT** accept help or support in direct messages (DMs), there are scammers lurking so beware!
https://cdn.discordapp.com/attachments/597638926152499206/867154929973723146/Create_a_ticket.png",,,,,,
8.25563E+17,undoubted08,2022-01-03T15:50:59.5230000-05:00,"@saintnico if you need troubleshooting support please create a ticket following the instructions above ☝️ and DO NOT accept help or support in direct messages (DMs), there are scammers lurking so beware!",,,,,,
8.27675E+17,saintnico#6975,2022-01-03T16:02:33.7650000-05:00,"Im trying to create my own pool, using uniswap and my own coin",,,,,,
8.0502E+17,samyuuuuu#4876,2022-01-03T16:14:17.0260000-05:00,"Can somebody help me out. When i go on uniswap en I take as  for example eth to genos or another random coin, when i try to give in an amount - before it lets me finish , it sends me to this errorpage saying something went wrong. It gives me a couple of links saying something with fabe junk. Refreshed my wallet switched off phone ... can somebody help?",,,,,,
5.32196E+17,sanotain,2022-01-03T16:37:37.5650000-05:00,"Hey if a coin is on uniswap, and it's on an exchange like binance. How does the price of the coin stay in sync between them?",,,,,,
9.2768E+17,logiebear77#3737,2022-01-03T16:49:33.6880000-05:00,Hi can anyone please help I've got 200 dollars worth of coins in Social Good I've connected my wallet to metamask how do I start trading ?,,,,,,
6.66139E+17,bing2,2022-01-03T16:55:06.3620000-05:00,There are arbitrage bots that does that. They basically profit if there's a price difference in various exchanges that the token is listed in.,,,,,,
6.66139E+17,bing2,2022-01-03T16:55:45.8390000-05:00,Please read through #🌱│start-here-archive or explore Uniswap Help center: https://help.uniswap.org,,,,,,
5.32196E+17,sanotain,2022-01-03T17:00:30.5730000-05:00,"Nah I mean if a coin is in a liquidity pool, the value of that coin goes up and down depending on the swaps right? So the value of a coin goes up in a uniswap liquidity pool, how does binance then show the same or similar price? Is there a bot that keeps the price up to date on both platforms? 

Apologies for any misconceptions. Trying to learn this",,,,,,
6.66139E+17,bing2,2022-01-03T17:08:10.4030000-05:00,Every exchange has its own price for each token. Trades in each one generally does not directly affect the trades in others.,,,,,,
5.32196E+17,sanotain,2022-01-03T17:09:15.9730000-05:00,Ahh I see. So they don't have to match,,☝️ (1),,,,
6.66139E+17,bing2,2022-01-03T17:09:34.0170000-05:00,Please move this in #⚠│report-scams instead. Thanks 🙂,,,,,,
8.87727E+17,beetle369,2022-01-03T17:09:50.5770000-05:00,This is a scam ☝️,,,,,,
6.66139E+17,bing2,2022-01-03T17:10:22.4260000-05:00,"Yes, it is a scam. �?**DO NOT** share your seed phrases or private keys to anyone and **DO NOT** paste them in any website!",,,,,,
8.87727E+17,beetle369,2022-01-03T17:12:05.4500000-05:00,Done 👍,,ty (1),,,,
5.32196E+17,sanotain,2022-01-03T17:15:47.5140000-05:00,"@Bing² hey bro, are you able to add me as a friend? Would be much appreciated in case of further questions",,,,,,
6.66139E+17,bing2,2022-01-03T17:17:59.1350000-05:00,"We do not provide support in DMs, sorry. If you have further concerns feel free to post your question or create a ticket in #🙋│help  🙂",,👍 (1),,,,
5.32196E+17,sanotain,2022-01-03T17:20:33.0890000-05:00,Alright no worries. Thanks for your help today,,,,,,
2.44877E+17,andor3325,2022-01-03T18:01:52.1650000-05:00,is there a pool on polygon to swap spell to staked spell?,,,,,,
4.56227E+17,Deleted User,2022-01-03T18:04:57.2580000-05:00,Hello can anyone tell me how I can buy syscoin ? Thank u,,,,,,
6.66139E+17,bing2,2022-01-03T18:05:40.4640000-05:00,You will have to confirm the token's support for that. Anyone can add/create a pool in Uniswap.,,,,,,
6.66139E+17,bing2,2022-01-03T18:07:28.9210000-05:00,"Please confirm with the token's support what the token's address is. There are a lot of fake/scam tokens in Uniswap that you can't sell. 

For using Uniswap, you can read through #🌱│start-here-archive or explore our Help Center: https://help.uniswap.org",,👍 (3),,,,
8.95271E+17,Alchemydreams#6933,2022-01-03T19:44:58.7570000-05:00,hi why do i always have to pay just for you guys to  allow the uniswap protocol to use the token?,,,,,,
4.27327E+17,la1210,2022-01-03T19:45:51.1280000-05:00,"You dont pay Uniswap, you pay to the miners of Ethereum network for writing and computing the transaction in the blockchain",,,,,,
8.95271E+17,Alchemydreams#6933,2022-01-03T19:48:16.3820000-05:00,"it wasnt like that last week, just seen this message today",,,,,,
8.95271E+17,Alchemydreams#6933,2022-01-03T19:49:18.0230000-05:00,normally it allows to just swap,,,,,,
4.27327E+17,la1210,2022-01-03T19:49:49.1230000-05:00,"I has been like that since. But if you are referring to the ""Allow uniswap protocol"". It is because you are trying to spend a token that is not ETH",,,,,,
5.08392E+17,Tickets#6981,2022-01-03T19:50:03.9250000-05:00,"The first time you do a swap or liquidity add from a particular token, you have to approve it. This makes it so you can swap that token on Uniswap. From then on, you can swap from that token with only one step. However, the first time requires the approval and *then* the swap. You are charged an Ethereum transaction fee for the approval. Check #new-user-guide for more info https://discord.com/channels/597638925346930701/805509196031983637/805843069211508748",,,,,,
8.95271E+17,Alchemydreams#6933,2022-01-03T19:50:47.5070000-05:00,"i am trying to say for example swap clifford inu for eth, so how isitn not eth?",,,,,,
4.27327E+17,la1210,2022-01-03T19:51:38.5900000-05:00,You are spending clifford Inu in this case therefore requires approval since it is not ETH,,,,,,
8.95271E+17,Alchemydreams#6933,2022-01-03T19:52:07.6100000-05:00,but last week and week before that i never had problems that i have to approve it?,,,,,,
4.27327E+17,la1210,2022-01-03T19:52:38.5050000-05:00,"If you spent ETH for clifford Inu, there is no approval required",,,,,,
4.27327E+17,la1210,2022-01-03T19:52:50.3590000-05:00,There has been no changes with how approval works,,,,,,
8.95271E+17,Alchemydreams#6933,2022-01-03T19:53:12.9360000-05:00,not just clifford inu but other coins aswell never had issues... now every time its asking me to pay for approval,,,,,,
4.27327E+17,la1210,2022-01-03T19:54:55.8530000-05:00,"If you spent ETH, there will be no approval required. If you are still confused, you can read here #🌱│start-here-archive",,,,,,
9.27753E+17,dayı#4151,2022-01-03T21:59:33.5470000-05:00,👍,,,,,,
7.79692E+17,yashacharya.,2022-01-04T01:19:41.7570000-05:00,Is this a scam?,https://cdn.discordapp.com/attachments/597638926152499206/927808488711802900/Screenshot_2022-01-04_at_11.49.23_AM.png?ex=65eff3fd&is=65dd7efd&hm=950284825ac0363eac89d61299e3feed08931f4251056b538371ecc19dbee49a&,,,,,
4.27327E+17,la1210,2022-01-04T01:40:39.1150000-05:00,Any DM is a scam,,💯 (3),,,,
5.08392E+17,Tickets#6981,2022-01-04T01:40:44.6130000-05:00,"For troubleshooting help, please go to #🙋│help and click on the ""**Open a Ticket**"" button. Scroll down to the bottom of Uniswap channel lists (left pane) to see your ticket (that shows your discord username), then state your issue there. Wait for next Uniswap helpers/support team to respond. 

:warning: Please **DO NOT** accept help or support in direct messages (DMs), there are scammers lurking so beware!
https://cdn.discordapp.com/attachments/597638926152499206/867154929973723146/Create_a_ticket.png",,,,,,
5.08392E+17,Tickets#6981,2022-01-04T01:58:21.6910000-05:00,"For troubleshooting help, please go to #🙋│help and click on the ""**Open a Ticket**"" button. Scroll down to the bottom of Uniswap channel lists (left pane) to see your ticket (that shows your discord username), then state your issue there. Wait for next Uniswap helpers/support team to respond. 

:warning: Please **DO NOT** accept help or support in direct messages (DMs), there are scammers lurking so beware!
https://cdn.discordapp.com/attachments/597638926152499206/867154929973723146/Create_a_ticket.png",,,,,,
8.7283E+17,sherryyanjiang,2022-01-04T01:58:37.2850000-05:00,"Hi! Does anyone know of the downsides of Uniswap v3 with concentrated liquidity? I.e., if there are trades that happen outside of the area of concentration - let's say between $0.99 to $1.01 for illustration sake - what happens?",,,,,,
4.27327E+17,la1210,2022-01-04T01:59:13.2710000-05:00,You do not receive any LP fee for trades outside your range.,,,,,,
4.65797E+17,jakekvm01,2022-01-04T02:01:22.5820000-05:00,"Hi @SNNICK Kindly post here #💻│dev-chat . Sorry, we don't entertain DM's.",,,,,,
9.27818E+17,Talha7#4860,2022-01-04T02:11:32.2500000-05:00,HI! i think i may have a glitch or something but my coins in unisway arent showing its current value. What do you think the problem is?,,,,,,
5.08392E+17,Tickets#6981,2022-01-04T02:15:21.4790000-05:00,"For troubleshooting help, please go to #🙋│help and click on the ""**Open a Ticket**"" button. Scroll down to the bottom of Uniswap channel lists (left pane) to see your ticket (that shows your discord username), then state your issue there. Wait for next Uniswap helpers/support team to respond. 

:warning: Please **DO NOT** accept help or support in direct messages (DMs), there are scammers lurking so beware!
https://cdn.discordapp.com/attachments/597638926152499206/867154929973723146/Create_a_ticket.png",,,,,,
7.45905E+17,cindylo0,2022-01-04T02:15:25.4100000-05:00,@Talha7 👆,,,,,,
9.11264E+17,AK1988#9186,2022-01-04T02:21:59.4840000-05:00,Hi guys - happy new year to all! looking for some advice,,,,,,
9.11264E+17,AK1988#9186,2022-01-04T02:23:02.6570000-05:00,new user on US and Meta mask - last night incorrectly transferred USDT funds to wrong account - back to the uniswap pool - any idea how i can reverse this or locate my funds?,,,,,,
5.08392E+17,Tickets#6981,2022-01-04T02:30:31.2820000-05:00,"For troubleshooting help, please go to #🙋│help and click on the ""**Open a Ticket**"" button. Scroll down to the bottom of Uniswap channel lists (left pane) to see your ticket (that shows your discord username), then state your issue there. Wait for next Uniswap helpers/support team to respond. 

:warning: Please **DO NOT** accept help or support in direct messages (DMs), there are scammers lurking so beware!
https://cdn.discordapp.com/attachments/597638926152499206/867154929973723146/Create_a_ticket.png",,,,,,
7.45905E+17,cindylo0,2022-01-04T02:30:36.5470000-05:00,@AK1988 👆,,,,,,
4.27327E+17,la1210,2022-01-04T02:53:46.6450000-05:00,Please post in #🏛│governance  or #🔋│uni-grants  instead,,,,,,
9.24614E+17,NFT STELLA#5407,2022-01-04T03:13:00.3360000-05:00,Hi everyone or anyone who can help. I am pretty sure I have staked on Derace. This staking is super new to me so I followed the guidelines and did what I had to ( i think ). But obviously I need to make sure. On my Metamask wallet I do have something that reads 0.000*******729497411UNI-V2 and some kind of transaction info on  metamask but as I said is there any way of checking that I am going in the right direction. Remember I am new so please easy help or a helpline email address to uniswap. Thanks everyone,,,,,,
5.08392E+17,Tickets#6981,2022-01-04T03:14:59.6290000-05:00,"For troubleshooting help, please go to #🙋│help and click on the ""**Open a Ticket**"" button. Scroll down to the bottom of Uniswap channel lists (left pane) to see your ticket (that shows your discord username), then state your issue there. Wait for next Uniswap helpers/support team to respond. 

:warning: Please **DO NOT** accept help or support in direct messages (DMs), there are scammers lurking so beware!
https://cdn.discordapp.com/attachments/597638926152499206/867154929973723146/Create_a_ticket.png",,,,,,
7.45905E+17,cindylo0,2022-01-04T03:15:09.5770000-05:00,@NFT STELLA 👆,,,,,,
